,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_model_summaries
0,Ms. Dawson helps #Person1# to write a memo to inform every employee that they have to change the communication method and should not use Instant Messaging anymore.,The memo is to be distributed to all employees by this afternoon.,#Person1# asks Ms. Dawson to take a dictation to all employees by this afternoon. Ms. Dawson tells #Person1# all office communications are restricted to email correspondence and official memos and the use of Instant Message programs by employees during working hours is strictly prohibited. #Person1# wants to change the communication methods and Ms. Dawson tells #Person1# it applies to internal and external communications.,#Person1# asks Ms. Dawson to take a dictation to all employees by this afternoon. Ms. Dawson tells #Person1# that all office communications are restricted to email correspondence and official memos. #Person1# wants to change the communication methods and asks Ms. Dawson to get the memo typed up and distributed to all employees before 4 pm.
1,"In order to prevent employees from wasting time on Instant Message programs, #Person1# decides to terminate the use of those programs and asks Ms. Dawson to send out a memo to all employees by the afternoon.",The memo is to be distributed to all employees by this afternoon.,#Person1# asks Ms. Dawson to take a dictation to all employees by this afternoon. Ms. Dawson tells #Person1# all office communications are restricted to email correspondence and official memos and the use of Instant Message programs by employees during working hours is strictly prohibited. #Person1# wants to change the communication methods and Ms. Dawson tells #Person1# it applies to internal and external communications.,#Person1# asks Ms. Dawson to take a dictation to all employees by this afternoon. Ms. Dawson tells #Person1# that all office communications are restricted to email correspondence and official memos. #Person1# wants to change the communication methods and asks Ms. Dawson to get the memo typed up and distributed to all employees before 4 pm.
2,Ms. Dawson takes a dictation for #Person1# about prohibiting the use of Instant Message programs in the office. They argue about its reasonability but #Person1# still insists.,The memo is to be distributed to all employees by this afternoon.,#Person1# asks Ms. Dawson to take a dictation to all employees by this afternoon. Ms. Dawson tells #Person1# all office communications are restricted to email correspondence and official memos and the use of Instant Message programs by employees during working hours is strictly prohibited. #Person1# wants to change the communication methods and Ms. Dawson tells #Person1# it applies to internal and external communications.,#Person1# asks Ms. Dawson to take a dictation to all employees by this afternoon. Ms. Dawson tells #Person1# that all office communications are restricted to email correspondence and official memos. #Person1# wants to change the communication methods and asks Ms. Dawson to get the memo typed up and distributed to all employees before 4 pm.
3,#Person2# arrives late because of traffic jam. #Person1# persuades #Person2# to use public transportations to keep healthy and to protect the environment.,The traffic jam at the Carrefour intersection has caused a lot of congestion.,#Person2# got stuck in traffic again. #Person1# suggests #Person2# start taking public transport system to work and suggests #Person2# start biking to work when it's nicer outside. #Person2# thinks it's not good for #Person2# or for the environment.,#Person2# got stuck in traffic and got stuck in a terrible traffic jam. #Person1# suggests #Person2# start taking public transport system to work. #Person2# thinks it's better for the environment and #Person2# will miss having freedom with a car. #Person1# suggests biking to work when it's nicer outside.
4,#Person2# decides to follow #Person1#'s suggestions on quitting driving to work and will try to use public transportations.,The traffic jam at the Carrefour intersection has caused a lot of congestion.,#Person2# got stuck in traffic again. #Person1# suggests #Person2# start taking public transport system to work and suggests #Person2# start biking to work when it's nicer outside. #Person2# thinks it's not good for #Person2# or for the environment.,#Person2# got stuck in traffic and got stuck in a terrible traffic jam. #Person1# suggests #Person2# start taking public transport system to work. #Person2# thinks it's better for the environment and #Person2# will miss having freedom with a car. #Person1# suggests biking to work when it's nicer outside.
5,"#Person2# complains to #Person1# about the traffic jam, #Person1# suggests quitting driving and taking public transportation instead.",The traffic jam at the Carrefour intersection has caused a lot of congestion.,#Person2# got stuck in traffic again. #Person1# suggests #Person2# start taking public transport system to work and suggests #Person2# start biking to work when it's nicer outside. #Person2# thinks it's not good for #Person2# or for the environment.,#Person2# got stuck in traffic and got stuck in a terrible traffic jam. #Person1# suggests #Person2# start taking public transport system to work. #Person2# thinks it's better for the environment and #Person2# will miss having freedom with a car. #Person1# suggests biking to work when it's nicer outside.
6,#Person1# tells Kate that Masha and Hero get divorced. Kate is surprised because she thought they are perfect couple.,Masha and Hero are getting divorced.,Masha and Hero are getting divorced. Kate can't believe it. #Person1# tells Kate they are having a separation for 2 months and filed for divorce. Kate thinks it's surprising and can't believe it.,Kate tells #Person2# Masha and Hero are getting divorced. #Person2# thinks it's surprising because they are having a separation for 2 months and filed for divorce. #Person2# thinks it's the change from all the back stepping.
7,#Person1# tells Kate that Masha and Hero are getting a peaceful divorce. Kate feels surprised and asks about their kids.,Masha and Hero are getting divorced.,Masha and Hero are getting divorced. Kate can't believe it. #Person1# tells Kate they are having a separation for 2 months and filed for divorce. Kate thinks it's surprising and can't believe it.,Kate tells #Person2# Masha and Hero are getting divorced. #Person2# thinks it's surprising because they are having a separation for 2 months and filed for divorce. #Person2# thinks it's the change from all the back stepping.
8,#Person1# and Kate talk about the divorce between Masha and Hero. Kate feels surprised because she thought they are well matched,Masha and Hero are getting divorced.,Masha and Hero are getting divorced. Kate can't believe it. #Person1# tells Kate they are having a separation for 2 months and filed for divorce. Kate thinks it's surprising and can't believe it.,Kate tells #Person2# Masha and Hero are getting divorced. #Person2# thinks it's surprising because they are having a separation for 2 months and filed for divorce. #Person2# thinks it's the change from all the back stepping.
9,#Person1# and Brian are at the birthday party of Brian. Brian thinks #Person1# looks great and is popular.,Brian's birthday is coming up.,Brian's birthday is coming. #Person1# invites Brian to have a dance and Brian compliments #Person1#'s looks. Brian thinks #Person1# looks great and invites #Person1# to have a drink together.,Brian remembers his birthday and invites #Person1# to the party. Brian is popular with everyone and looks pretty today. #Person1# and Brian will have a drink together to celebrate Brian's birthday.
10,#Person1# attends Brian's birthday party. Brian thinks #Person1# looks great and charming.,Brian's birthday is coming up.,Brian's birthday is coming. #Person1# invites Brian to have a dance and Brian compliments #Person1#'s looks. Brian thinks #Person1# looks great and invites #Person1# to have a drink together.,Brian remembers his birthday and invites #Person1# to the party. Brian is popular with everyone and looks pretty today. #Person1# and Brian will have a drink together to celebrate Brian's birthday.
11,#Person1# has a dance with Brian at Brian's birthday party. Brian thinks #Person1# looks great and is popular.,Brian's birthday is coming up.,Brian's birthday is coming. #Person1# invites Brian to have a dance and Brian compliments #Person1#'s looks. Brian thinks #Person1# looks great and invites #Person1# to have a drink together.,Brian remembers his birthday and invites #Person1# to the party. Brian is popular with everyone and looks pretty today. #Person1# and Brian will have a drink together to celebrate Brian's birthday.
12,"#Person1# is surprised at the Olympic Stadium'volume, capacity and interior setting to #Person1#.",The Olympic stadium is the center of the park.,#Person2# tells #Person1# the Olympic park is so big and the seats in the stadium are 5000. #Person1# thinks it's amazing. #Person2# tells #Person1# they put many signs with English translations for foreign visitors.,"#Person1# and #Person2# are in the Olympic stadium, the center of the park. They are surprised by the huge number of seats in the stadium. They are also surprised by the signs with English translations for foreign visitors."
13,#Person2# shows #Person1# around the constructing Olympic stadium and introduces the stadium.,The Olympic stadium is the center of the park.,#Person2# tells #Person1# the Olympic park is so big and the seats in the stadium are 5000. #Person1# thinks it's amazing. #Person2# tells #Person1# they put many signs with English translations for foreign visitors.,"#Person1# and #Person2# are in the Olympic stadium, the center of the park. They are surprised by the huge number of seats in the stadium. They are also surprised by the signs with English translations for foreign visitors."
14,"#Person2# introduces the Olympic Stadium's finishing time, capacity and interior setting to #Person1#.",The Olympic stadium is the center of the park.,#Person2# tells #Person1# the Olympic park is so big and the seats in the stadium are 5000. #Person1# thinks it's amazing. #Person2# tells #Person1# they put many signs with English translations for foreign visitors.,"#Person1# and #Person2# are in the Olympic stadium, the center of the park. They are surprised by the huge number of seats in the stadium. They are also surprised by the signs with English translations for foreign visitors."
15,"#Person1# wants to create a company and is going to write a business plan. #Person2# gives #Person1# suggestions on how to summarise business ideas, describe the service, differ from competitors and attract investment in a good business plan. #Person1# decides to stick to the old job.","#Person1#: I am done working for a company that is taking me nowhere! #Person2#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, that's exactly what I am going to do! I am going to write up a business plan, get some investors and start working for myself! #Person1#: Well, all you have to do is explain your business, how you are going to do things, and a market analysis. #Person1#: Well, that seems easy enough! #Person2#: Well, that seems easy enough! Then you need to introduce and describe your goods or services. #Person1#: Well, that seems easy enough! #Person2#: Well, that seems easy! #Person1#:",#Person1# is done working for a company and wants to create a company. #Person2# tells #Person1# the basic information of a business plan and the financial analysis. #Person1# will stick to #Person1#'s old job and save all the hassle of trying to start up a business.,#Person1# is done working for a company that is taking #Person1# nowhere. #Person2# tells #Person1# that #Person1# will create a company and write up a business plan. #Person1# thinks #Person1# will stick to #Person1#'s old job and save #Person1# all the hassle of starting a business.
